"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"May 11, 2015",Kentucky,"Vine Grove","Willow Crossing Court",2,0,N/A
"May 3, 2015",Florida,"Panama City","1914 Frankford Ave",1,0,N/A
"May 3, 2015",Louisiana,Shreveport,"400 block of Pete Harris Drive",1,0,N/A
"May 3, 2015",Wisconsin,Menasha,"North Lake Street",4,1,N/A
"April 30, 2015",Georgia,Macon,"6381 Thomaston Road",1,0,N/A
"April 29, 2015",Georgia,Augusta,"1200 block of Holden Drive",1,0,N/A
"April 23, 2015",Georgia,Varnell,"3896 Cleveland Highway",3,0,N/A
"April 20, 2015",Florida,"Fort Pierce","Avenue E",1,0,N/A
"April 18, 2015",Texas,Killeen,"3600 block of Del Mar Court",1,0,N/A
"April 16, 2015",Washington,Kent,"S. 248th Street and Lake Fenwick Road",1,0,N/A
"April 12, 2015",Ohio,Cleveland,"3700 block of E. 63",1,0,N/A
"April 10, 2015",Tennessee,Memphis,"2600 block of Durby Circle",1,0,N/A
"April 1, 2015",Oklahoma,Tulsa,"18600 block of East 49th Street",4,0,N/A
"March 31, 2015",Pennsylvania,Washington,"West Chestnut Street",1,0,N/A
"March 31, 2015",Tennessee,Madison,"333 Rio Vista Drive",1,0,N/A
"March 29, 2015",Georgia,Jefferson,"300 block of Fairfield Drive",1,0,N/A
"March 28, 2015","New Hampshire",Bedford,"17 McAfee Farm Road",3,0,N/A
"March 28, 2015",Washington,"Bremerton (East Bremerton)","3060 Northeast McWilliams Road",2,1,N/A
"March 25, 2015",Florida,"Saint Cloud","16000 block of Bachmann Avenue",2,1,N/A
"March 24, 2015",Florida,Miami,"1900 block of Northwest 4th Court",1,1,N/A
"March 22, 2015",Alaska,Kenai,"Alpine Drive and Borgen Avenue",4,0,N/A
"March 19, 2015",Oklahoma,Tulsa,"7900 block of South Riverside Drive",1,0,N/A
"March 19, 2015",Texas,Houston,"6301 Sierra Blanca",1,0,N/A
"March 17, 2015",Oklahoma,Comanche,"Highway 81",1,0,N/A
"March 16, 2015",Missouri,Springfield,"3660 South Cox Road",3,0,N/A
"March 13, 2015",Michigan,Flint,"1800 block of Barks Street",1,0,N/A
